Trial	Cohort	Day1 (N=)	Day1	Day29	Day43or63	Day29 (Pairs, N=)	Day1 to Day29 Change	Day 43or63 (Pairs, N=)	Day1 to Day43or63 Change
CM-009	Trial Cohort	91	1978	2300	2179	79	180	63	114
CM-009	2L Cohort	67	2057	2374	2332	57	185	42	95
CM-009	PD	27	3138	3397	4043	25	259	14	224
CM-009	SD	42	1809	1999	1866	38	103	35	134
CM-009	CRPR	14	1635	2115	1692	14	42	13	-83
CM-038	Trial Cohort	78	2312	2361	2247	63	175	58	171
CM-038	PD	34	2183	2065	2238	27	175	22	243
CM-038	SD	24	2452	2654	2505	21	188	19	160
CM-038	CRPR	20	1936	1970	2133	15	79	17	70
